13:29:50.931 -> 26.84 | Temp = 
13:40:18.118 -> 54.08 | Temp = 
13:40:20.328 -> 54.04 | Temp =
13:40:22.492 -> 53.75 | Temp = 
13:40:24.705 -> 53.57 | Temp = 
13:40:26.924 -> 53.42 | Temp = 
13:40:29.122 -> 53.66 | Temp = 
13:40:31.328 -> 53.89 | Temp = 
13:40:33.529 -> 53.85 | Temp = 
13:40:35.726 -> 53.89 | Temp = 
13:40:37.925 -> 53.80 | Temp = 
13:40:40.136 -> 53.85 | Temp = 
13:40:42.300 -> 53.85 | Temp = 
13:40:44.513 -> 53.80 | Temp = 
13:40:46.726 -> 53.89 | Temp = 
13:40:48.927 -> 53.71 | Temp = 
13:40:51.132 -> 53.85 | Temp = 
13:40:53.340 -> 53.80 | Temp = 
13:40:55.502 -> 53.75 | Temp = 
13:40:57.705 -> 53.75 | Temp = 
13:40:59.926 -> 53.80 | Temp = 
13:41:02.126 -> 53.89 | Temp = 
13:41:04.325 -> 53.85 | Temp = 
13:41:06.527 -> 53.89 | Temp 
3:41:08.728 -> 53.75 | Temp = 
13:41:10.931 -> 53.89 | Temp = 
13:41:13.135 -> 53.94 | Temp = 
13:41:15.343 -> 53.94 | Temp = 
13:41:17.546 -> 53.89 | Temp = 
13:41:19.748 -> 53.61 | Temp = 
13:41:21.948 -> 53.52 | Temp = 
13:41:24.112 -> 53.52 | Temp = 
13:41:26.329 -> 53.38 | Temp = 
13:41:28.538 -> 53.24 | Temp = 
13:41:30.746 -> 53.05 | Temp = 
13:41:32.929 -> 52.95 | Temp = 
13:41:35.134 -> 53.00 | Temp = 
13:41:37.338 -> 52.95 | Temp = 
13:41:39.537 -> 53.05 | Temp = 
13:41:41.736 -> 52.86 | Temp = 
13:41:43.941 -> 53.00 | Temp = 
13:41:46.144 -> 52.91 | Temp = 
13:41:48.351 -> 52.81 | Temp = 
13:41:50.519 -> 52.86 | Temp = 
13:41:52.723 -> 52.81 | Temp =
13:41:54.940 -> 52.77 | Temp = 
13:41:57.148 -> 52.67 | Temp = 
13:41:59.322 -> 52.67 | Temp = 
13:42:01.545 -> 52.72 | Temp = 
13:42:03.749 -> 52.58 | Temp = 
13:42:05.962 -> 52.67 | Temp = 
13:42:08.145 -> 52.62 | Temp = 
13:42:10.359 -> 52.67 | Temp = 
13:42:12.566 -> 52.67 | Temp = 
13:42:14.726 -> 52.53 | Temp = 
13:42:16.930 -> 52.58 | Temp = 
13:42:19.153 -> 52.67 | Temp = 
13:42:21.360 -> 52.48 | Temp = 
13:42:23.566 -> 52.44 | Temp = 
13:42:25.770 -> 52.53 | Temp = 
13:42:27.957 -> 52.53 | Temp = 
13:42:30.161 -> 52.53 | Temp = 
13:42:32.331 -> 52.44 | Temp = 
13:42:34.561 -> 52.48 | Temp = 
13:42:36.760 -> 52.34 | Temp = 
13:42:38.967 -> 52.34 | Temp = 
13:42:41.176 -> 52.48 | Temp 
13:42:43.353 -> 52.29 | Temp = 
13:42:45.562 -> 52.34 | Temp = 
13:42:47.764 -> 52.44 | Temp = 
13:42:49.962 -> 52.39 | Temp = 
13:42:52.173 -> 52.44 | Temp = 
13:42:54.354 -> 52.34 | Temp = 
13:42:56.567 -> 52.29 | Temp = 
13:42:58.769 -> 52.44 | Temp = 
13:43:00.976 -> 52.44 | Temp =
